time_seconds,allocated_mb,reserved_mb,gpu_load_percent
338.64901065826416,202.48193359375,2960.0,99.9
344.3701550960541,202.48193359375,2960.0,99.8
350.0913155078888,202.48193359375,2960.0,99.9
355.8136148452759,507.37841796875,2960.0,99.9
361.5309557914734,202.48193359375,2960.0,99.8
367.2502992153168,202.48193359375,2960.0,99.9
372.9709815979004,202.48193359375,2960.0,99.9
378.69191789627075,202.48193359375,2960.0,99.9
384.4107732772827,202.48193359375,2960.0,99.9
390.1303491592407,202.48193359375,2960.0,93.9
395.8503842353821,202.48193359375,2960.0,99.8
401.57209396362305,507.07568359375,2960.0,99.9
407.29119086265564,202.48193359375,2960.0,99.9
413.01340198516846,202.48193359375,2960.0,99.9
418.732248544693,202.48193359375,2960.0,99.9
424.45097374916077,202.48193359375,2960.0,99.9
430.1717653274536,507.07568359375,2960.0,99.9
435.89068937301636,202.48193359375,2960.0,99.9
441.6157500743866,202.48193359375,2960.0,99.9
447.33597230911255,507.37841796875,2960.0,99.9
453.05227732658386,202.48193359375,2960.0,99.8
458.7728383541107,507.07568359375,2960.0,99.8
464.4930543899536,811.66943359375,2960.0,99.9
470.21438455581665,202.48193359375,2960.0,99.9
475.9323482513428,202.48193359375,2960.0,99.9
481.65284156799316,202.48193359375,2960.0,99.9
487.37365555763245,202.48193359375,2960.0,90.4
493.0980648994446,202.48193359375,2960.0,99.8
498.81960821151733,202.48193359375,2960.0,99.9
504.5377342700958,202.48193359375,2960.0,99.9
510.25738739967346,202.48193359375,2960.0,99.9
515.9787223339081,202.48193359375,2960.0,99.9
521.6947932243347,202.48193359375,2960.0,99.9
527.4151620864868,202.48193359375,2960.0,99.9
533.1355764865875,202.48193359375,2960.0,85.0
538.8551828861237,202.48193359375,2960.0,95.1
544.5793480873108,202.48193359375,2960.0,99.9
550.2997913360596,202.48193359375,2960.0,99.9
556.0205600261688,202.48193359375,2960.0,99.9
561.738632440567,202.48193359375,2960.0,99.9
567.4591159820557,202.48193359375,2960.0,99.9
573.1754047870636,202.48193359375,2960.0,99.9
578.8947956562042,202.48193359375,2960.0,99.9
584.6155059337616,202.48193359375,2960.0,99.9
590.3357894420624,202.48193359375,2960.0,97.4
596.0565843582153,202.48193359375,2960.0,99.9
601.777987241745,202.48193359375,2960.0,99.9
607.4981200695038,202.48193359375,2960.0,99.9
613.2191081047058,202.48193359375,2960.0,99.9
618.940920829773,202.48193359375,2960.0,99.9
624.6581008434296,202.48193359375,2960.0,99.9
630.3776004314423,202.48193359375,2960.0,99.9
636.1089270114899,202.48193359375,2960.0,93.6
636.2223393917084,202.48193359375,2960.0,0.0
636.7609443664551,202.48193359375,2960.0,0.0
636.8625948429108,202.48193359375,2960.0,0.0
636.969132900238,202.48193359375,2960.0,0.0
637.0746960639954,202.48193359375,2960.0,0.0
637.1812510490417,202.48193359375,2960.0,0.0
637.2895038127899,202.48193359375,2960.0,0.0
637.3907549381256,202.48193359375,2960.0,0.0
637.4980962276459,202.48193359375,2960.0,0.0
637.6003065109253,202.48193359375,2960.0,0.0
